restriction_id,from_lat,from_lon,to_lat,to_lon,speed_limit_kmph,route,direction,description 
1,18.9528335,72.8382871,18.9571656,72.8386147,70,CSMT-PUNE,DN,csmt-kyn
2,18.9635702,72.8389997,18.9695334,72.8337834,60,CSMT-PUNE,DN,csmt-kyn
3,18.9708535,72.8332235,18.9787206,72.8328779,60,CSMT-PUNE,DN,csmt-kyn
4,19.00497,72.83501,19.01275,72.8399,80,CSMT-PUNE,DN,csmt-kyn
5,19.0296553,72.8517695,19.0361707,72.8561189,65,CSMT-PUNE,DN,csmt-kyn
6,19.0801853,72.8983858,19.0835601,72.9043999,65,CSMT-PUNE,DN,csmt-kyn
7,19.2025237,73.0055572,19.2052626,73.0170686,95,CSMT-PUNE,DN,csmt-kyn
8,19.2052626,73.0170686,19.1999952,73.0222114,85,CSMT-PUNE,DN,csmt-kyn
9,19.1999952,73.0222114,19.186468,73.037127,100,CSMT-PUNE,DN,csmt-kyn
10,19.2328096,73.1233412,19.23600336,73.13264031,65,CSMT-PUNE,DN,csmt-kyn
11,19.21137,73.18152,19.20586,73.19085,95,CSMT-PUNE,DN,kyn-kjt
12,19.16803,73.23459,19.16649,73.24102,90,CSMT-PUNE,DN,kyn-kjt
13,19.16649,73.24102,19.16116,73.24668,85,CSMT-PUNE,DN,kyn-kjt
14,18.89966,73.32024,18.88611,73.32026,80,CSMT-PUNE,DN,kjt-lnl
15,18.88611,73.32026,18.75134,73.40496,60,CSMT-PUNE,DN,kjt-lnl
16,18.76739,73.55339,18.76508875,73.56257934,90,CSMT-PUNE,DN,lnl-pune
17,18.73961,73.66455,18.73368,73.67413,85,CSMT-PUNE,DN,lnl-pune
18,18.70189,73.70414,18.7002,73.71074,90,CSMT-PUNE,DN,lnl-pune
19,18.64444,73.78596,18.63789,73.79288,90,CSMT-PUNE,DN,lnl-pune
20,18.56895468,73.83757335,18.56099833,73.84255651,75,CSMT-PUNE,DN,lnl-pune
21,18.53034481,73.85325077,18.52853007,73.85875471,85,CSMT-PUNE,DN,lnl-pune
22,18.52853007,73.85875471,18.52869089,73.86686047,30,CSMT-PUNE,DN,lnl-pune
23,18.52869089,73.86686047,18.5295334,73.875868,10,CSMT-PUNE,DN,lnl-pune
24,19.19047,73.04674,19.1888,73.05601,75,CSMT-PUNE,DN,dw-pnvl
25,19.186547,73.060481,19.18050621,73.06673688,100,CSMT-PUNE,DN,dw-pnvl
26,19.173476,73.072862,19.16447,73.07714,95,CSMT-PUNE,DN,dw-pnvl
27,19.147775,73.083169,19.13676838,73.08266356,80,CSMT-PUNE,DN,dw-pnvl
28,19.14297,73.082884,19.13618439,73.08262453,95,CSMT-PUNE,DN,dw-pnvl
29,19.06832,73.09272,19.06113,73.09781,95,CSMT-PUNE,DN,dw-pnvl
30,19.044216,73.112123,19.03112,73.1147,95,CSMT-PUNE,DN,dw-pnvl
31,18.99829,73.11582,18.99278,73.11964,75,CSMT-PUNE,DN,dw-pnvl
32,18.95266,73.1883,18.94395,73.19478,100,CSMT-PUNE,DN,pnvl-kjt
33,18.93262,73.19748,18.92074,73.20536,90,CSMT-PUNE,DN,pnvl-kjt
34,18.92565,73.31381,18.91928,73.32199,90,CSMT-PUNE,DN,pnvl-kjt
35,18.52944,73.85431,18.53523,73.85052,90,PUNE-CSMT,UP,pune-lnl
36,18.7389,73.66729,18.73971,73.66049,85,PUNE-CSMT,UP,pune-lnl
37,18.76763,73.55478,18.76577,73.54908,90,PUNE-CSMT,UP,pune-lnl
38,18.75481,73.37581,18.7514,73.36817,30,PUNE-CSMT,UP,lnl-kjt
39,18.77505,73.36341,18.7855,73.36699,25,PUNE-CSMT,UP,lnl-kjt
40,18.7855,73.36699,18.79097,73.36477,30,PUNE-CSMT,UP,lnl-kjt
41,18.82649,73.36392,18.83151,73.35966,30,PUNE-CSMT,UP,lnl-kjt
42,18.88737,73.32002,18.90939383,73.32071368,80,PUNE-CSMT,UP,lnl-kjt
43,19.16416,73.245,19.2058587,73.1908487,85,PUNE-CSMT,UP,kjt-kyn
44,19.16723,73.23636,19.1611624,73.2466777,90,PUNE-CSMT,UP,kjt-kyn
45,19.18532,73.03467,19.20378,73.01926,100,PUNE-CSMT,UP,kyn-csmt
46,19.20378,73.01926,19.20586,73.01551,85,PUNE-CSMT,UP,kyn-csmt
47,19.20586,73.01551,19.19979,73.00241,95,PUNE-CSMT,UP,kyn-csmt
48,19.18766,72.98077,19.18477,72.97162,80,PUNE-CSMT,UP,kyn-csmt
49,19.02695,72.85013,19.01995905,72.84497803,60,PUNE-CSMT,UP,kyn-csmt
50,19.00792,72.83688,18.99994,72.83338,80,PUNE-CSMT,UP,kyn-csmt
51,18.98018,72.83282,18.97454,72.83287,65,PUNE-CSMT,UP,kyn-csmt
52,18.97358,72.83287,18.96537,72.83762,65,PUNE-CSMT,UP,kyn-csmt
53,18.96537,72.83762,18.95897,72.83928,50,PUNE-CSMT,UP,kyn-csmt
54,18.95897,72.83928,18.95112,72.83843,60,PUNE-CSMT,UP,kyn-csmt
55,18.95112,72.83843,18.9445291,72.8357036,30,PUNE-CSMT,UP,kyn-csmt
56,18.95071,72.83845,18.946764,72.8376299,15,PUNE-CSMT,UP,kyn-csmt
57,18.91928,73.32199,18.92565,73.31381,90,PUNE-CSMT,UP,kjt-pnvl
